SCALERANK,NATSCALE,LABELRANK,FEATURECLA,NAME,NAMEPAR,NAMEALT,NAMEASCII,ADM0CAP,CAPIN,WORLDCITY,MEGACITY,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,NOTE,LATITUDE,LONGITUDE,POP_MAX,POP_MIN,POP_OTHER,RANK_MAX,RANK_MIN,MEGANAME,LS_NAME,MAX_POP10,MAX_POP20,MAX_POP50,MAX_POP300,MAX_POP310,MAX_NATSCA,MIN_AREAKM,MAX_AREAKM,MIN_AREAMI,MAX_AREAMI,MIN_PERKM,MAX_PERKM,MIN_PERMI,MAX_PERMI,MIN_BBXMIN,MAX_BBXMIN,MIN_BBXMAX,MAX_BBXMAX,MIN_BBYMIN,MAX_BBYMIN,MIN_BBYMAX,MAX_BBYMAX,MEAN_BBXC,MEAN_BBYC,TIMEZONE,UN_FID,POP1950,POP1955,POP1960,POP1965,POP1970,POP1975,POP1980,POP1985,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,POP2020,POP2025,POP2050,MIN_ZOOM,WIKIDATAID,WOF_ID,CAPALT,NAME_EN,NAME_DE,NAME_ES,NAME_FR,NAME_PT,NAME_RU,NAME_ZH,LABEL,NAME_AR,NAME_BN,NAME_EL,NAME_HI,NAME_HU,NAME_ID,NAME_IT,NAME_JA,NAME_KO,NAME_NL,NAME_PL,NAME_SV,NAME_TR,NAME_VI,NE_ID,NAME_FA,NAME_HE,NAME_UK,NAME_UR,NAME_ZHT,GEONAMESID,FCLASS_ISO,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA,FCLASS_TLC,lon,lat
4,50,3,Populated place,Griffith,,,Griffith,0,,0,0,Australia,AUS,Australia,AUS,New South Wales,AU,,-34.290014,146.040016,15455,7874,7874,6,5,,Griffith,7874,7874,7874,0,0,50,10,10,4,4,15,15,10,10,146.016667,146.016667,146.058333,146.058333,-34.3,-34.3,-34.266667,-34.266667,146.039881,-34.28631,Australia/Sydney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Q14217100,101939133,0,Griffith,Griffith,Griffith,Griffith,Griffith,Гриффит,葛瑞菲斯,,غريفيث,গ্রিফিত,Γκρίφιθ,ग्रिफ़िथ,Griffith,Griffith,Griffith,グリフィス,그리피스,Griffith,Griffith,Griffith,Griffith,Griffith,1159150381,گریفیت,גריפית',Гріффіт,جریفیتھ,葛瑞菲斯,2164422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0402473,-34.28986625
4,50,3,Populated place,Orange,,,Orange,0,,0,0,Australia,AUS,Australia,AUS,New South Wales,AU,,-33.279998,149.099984,39329,34087,34087,7,7,,Orange,34087,34087,34087,0,0,50,35,35,14,14,37,37,23,23,149.066667,149.066667,149.158333,149.158333,-33.316667,-33.316667,-33.241667,-33.241667,149.107568,-33.279337,Australia/Sydney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,Q580973,101939171,0,Orange,Orange,Orange,Orange,Orange,Ориндж,奥兰治,,أورانج,ওরেঞ্জ,Όραντζ,ऑरेंज,Orange,Orange,Orange,オレンジ,오렌지,Orange,Orange,Orange,Orange,Orange,1159150385,اورنج,אורנג',Орандж,اورینج,奧蘭治,2154219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0997805,-33.27992447
4,50,3,Populated place,Dubbo,,,Dubbo,0,,0,0,Australia,AUS,Australia,AUS,New South Wales,AU,,-32.259957,148.597327,31574,29361,31574,7,7,,Dubbo,31574,31574,31574,0,0,50,41,41,16,16,35,35,22,22,148.575,148.575,148.683333,148.683333,-32.275,-32.275,-32.216667,-32.216667,148.629762,-32.245387,Australia/Sydney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Q706105,101939639,0,Dubbo,Dubbo,Dubbo,Dubbo,Dubbo,Даббо,达博,,دوبو,ডুব্য,Ντούμπο,दब्बो,Dubbo,Dubbo,Dubbo,ニューサウスウェールズ州,더보,Dubbo,Dubbo,Dubbo,Dubbo,Dubbo,1159150387,دابو,דובו,Даббо,ڈوبو,德寳市,2168305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.5972126,-32.26014935
4,50,3,Populated place,Armidale,,,Armidale,0,,0,0,Australia,AUS,Australia,AUS,New South Wales,AU,,-30.512312,151.667476,22673,20914,20914,7,7,,Armidale,20914,20914,20914,0,0,50,21,21,8,8,28,28,17,17,151.633333,151.633333,151.691667,151.691667,-30.541667,-30.541667,-30.483333,-30.483333,151.66131,-30.510417,Australia/Sydney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,Q606169,101939451,0,Armidale,Armidale,Armidale,Armidale,Armidale,Армидейл,阿米代尔,,آرمدال,আর্মিডেল,Άρμιντεϊλ,आर्मिडेल,Armidale,Armidale,Armidale,アーミデイル,아미데일,Armidale,Armidale,Armidale,Armidale,Armidale,1159150389,آرمیدال,ארמידייל,Армідейл,ارمیدالی,阿米代爾,2177671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.6674289,-30.5121287
4,50,3,Populated place,Broken Hill,,,Broken Hill,0,,0,0,Australia,AUS,Australia,AUS,New South Wales,AU,,-31.94995,141.433114,17395,17070,0,6,6,,Broken Hill,17070,17070,17070,0,0,50,29,29,11,11,35,35,21,21,141.416667,141.416667,141.491667,141.491667,-32,-32,-31.933333,-31.933333,141.45625,-31.964792,Australia/Broken_Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,Q270734,101939539,0,Broken Hill,Broken Hill,Broken Hill,Broken Hill,Broken Hill,Брокен-Хилл,布罗肯希尔,,بروكن هيل,ব্রোকেন হিল,Μπρόκεν Χιλ,ब्रोकन हिल,Broken Hill,Broken Hill,Broken Hill,ブロークンヒル,브로큰힐,Broken Hill,Broken Hill,Broken Hill,Broken Hill,Broken Hill,1159150391,بروکن هیل,ברוקן היל,Брокен-Гілл,بروکن ہل,布羅肯希爾,2173911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.4330648,-31.95010995
4,50,3,Populated place,Wangaratta,,,Wangaratta,0,,0,0,Australia,AUS,Australia,AUS,Victoria,AU,,-36.360017,146.3,14022,8717,8717,6,5,,Wangaratta,8717,8717,8717,0,0,50,15,15,6,6,25,25,15,15,146.291667,146.291667,146.341667,146.341667,-36.383333,-36.383333,-36.333333,-36.333333,146.3125,-36.358333,Australia/Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,Q1024728,101933683,0,Wangaratta,Wangaratta,Wangaratta,Wangaratta,Wangaratta,Уонгаратта,旺加拉塔,,وانجارتا,ওয়াংগারাত্তা,Γουανγκαράτα,वांगारट्टा,Wangaratta,Wangaratta,Wangaratta,ウォンガラッタ,왕가라타,Wangaratta,Wangaratta,Wangaratta,Wangratta,Wangaratta,1159150403,وانگاراتا,וואנגרטה,Вангаратта,وانگاراٹا,旺加拉塔,2144764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.2998919,-36.36007337
3,110,3,Admin-0 capital,Canberra,,,Canberra,1,,0,0,Australia,AUS,Australia,AUS,Australian Capital Territory,AU,,-35.283029,149.129026,327700,234032,0,10,10,,Canberra,234032,244896,244896,244896,0,100,226,251,87,97,175,202,109,126,149,149,149.2,149.2,-35.483333,-35.455764,-35.183333,-35.183333,149.094107,-35.309627,Australia/Sydney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Q3114,1141909401,0,Canberra,Canberra,Canberra,Canberra,Camberra,Канберра,堪培拉,,كانبرا,ক্যানবেরা,Καμπέρα,कैनबरा,Canberra,Canberra,Canberra,キャンベラ,캔버라,Canberra,Canberra,Canberra,Canberra,Canberra,1159151161,کانبرا,קנברה,Канберра,کینبرا,坎培拉,2172517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.1290428,-35.28303351
3,110,3,Populated place,Newcastle,,,Newcastle,0,,0,0,Australia,AUS,Australia,AUS,New South Wales,AU,,-32.845348,151.815012,540796,322278,0,11,10,,Newcastle,717948,1134616,273848,273848,0,100,179,479,69,185,188,374,117,233,-1.8,151.566667,-1.451249,151.791667,-33.041667,54.841667,-32.866667,55.108333,75.048749,11.007107,Australia/Sydney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Q57278,101931395,0,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Ньюкасл,纽卡斯尔,,نيوكاسل,নিউক্যাসল,Νιούκασλ,न्यूकैसल,Newcastle,Newcastle,Newcastle,ニューカッスル,뉴캐슬,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,1159151163,نیوکاسل,ניוקאסל,Ньюкасл,نیو کیسل,紐卡索,2155472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.7700791,-32.92939485
3,110,3,Admin-1 capital,Brisbane,,,Brisbane,0,,0,1,Australia,AUS,Australia,AUS,Queensland,AU,,-27.453085,153.033147,1860000,926353,916726,12,11,Brisbane,Brisbane,926353,960207,959225,959225,0,100,710,744,274,287,453,470,282,292,152.716667,152.716667,153.191667,153.191667,-27.675,-27.675,-27.271291,-27.216667,152.990133,-27.483314,Australia/Brisbane,273,442,518,603,699,798,928,1067,1192,1329,1471,1603,1780,1860,1970,2092,2170,2233,4,Q34932,101934019,0,Brisbane,Brisbane,Brisbane,Brisbane,Brisbane,Брисбен,布里斯班,,بريزبان,ব্রিসবেন,Μπρίσμπεϊν,ब्रिस्बेन,Brisbane,Brisbane,Brisbane,ブリスベン,브리즈번,Brisbane,Brisbane,Brisbane,Brisbane,Brisbane,1159151169,بریزبن,בריזבן,Брисбен,برسبین,布里斯班,2174003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0330017,-27.45280334
0,600,3,Admin-1 capital,Sydney,,,Sydney,0,,1,1,Australia,AUS,Australia,AUS,New South Wales,AU,,-33.918065,151.183234,4630000,3641422,2669348,12,12,Sydney,Sydney1,2731457,2731457,3164008,3164008,3164008,300,1078,1409,416,544,468,717,291,445,150.533333,150.831963,151.308333,151.341667,-34.091667,-34.091667,-33.641667,-33.6,151.051024,-33.846724,,276,1690,1906,2135,2390,2667,2960,3227,3432,3632,3839,4078,4260,4327,4427,4582,4716,4826,1.7,Q3130,101932003,0,Sydney,Sydney,Sídney,Sydney,Sydney,Сидней,悉尼,,سيدني,সিডনি,Σίδνεϊ,सिडनी,Sydney,Sydney,Sydney,シドニー,시드니,Sydney,Sydney,Sydney,Sidney,Sydney,1159151623,سیدنی,סידני,Сідней,سڈنی,雪梨,2147714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.2127025,-33.87166012
